Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
115,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996566424938,6996566427378,0
116,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996566494818,6996566497458,0
117,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996583120168,6996583122768,0
118,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996583153728,6996583156208,0
119,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996583224428,6996583227108,0
120,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996598313850,6996598316610,0
121,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996598347600,6996598350280,0
122,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996611459093,6996611461653,0
123,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996611492583,6996611495103,0
124,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996611562993,6996611565673,0
125,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996626344294,6996626346894,0
126,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996626378664,6996626381144,0
127,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996626452785,6996626455465,0
128,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996639782138,6996639784738,0
129,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996639816279,6996639818759,0
130,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996639886219,6996639888859,0
131,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996655336140,6996655338820,0
132,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996655370260,6996655372900,0
133,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996668453227,6996668455827,0
134,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996668487307,6996668489747,0
135,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996668558107,6996668560787,0
136,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996682165377,6996682168057,0
137,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996682198898,6996682201338,0
138,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996682268218,6996682270858,0
139,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996695687747,6996695690347,0
140,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996695721337,6996695723697,0
141,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996695790368,6996695793048,0
142,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996710779796,6996710782596,0
143,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996710814076,6996710816756,0
144,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996723576852,6996723579452,0
145,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996723610702,6996723613222,0
146,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996723680902,6996723683622,0
147,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996736736854,6996736739454,0
148,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996736770924,6996736773364,0
149,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996736840565,6996736843245,0
150,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996750177408,6996750180248,0
151,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996750210848,6996750213288,0
152,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996750279269,6996750281989,0
153,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996765693642,6996765696322,0
154,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996765727612,6996765730252,0
155,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996778467643,6996778470283,0
156,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996778502373,6996778504853,0
157,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996778572474,6996778575154,0
158,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996792879458,6996792882058,0
159,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996792914118,6996792916638,0
160,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996792986998,6996792989718,0
161,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996807783897,6996807786537,0
162,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996807818498,6996807821058,0
163,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996807890698,6996807893418,0
164,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996823080160,6996823082960,0
165,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996823114630,6996823117390,0
166,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996835736546,6996835739186,0
167,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996835771676,6996835774196,0
168,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996835846347,6996835849107,0
169,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996847417347,6996847420027,0
170,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996847452957,6996847455477,0
171,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996847525197,6996847527997,0
172,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996860517369,6996860519929,0
173,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996860550519,6996860552999,0
174,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996860620749,6996860623429,0
175,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996875864686,6996875867526,0
176,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6996875899336,6996875901976,0
177,1,1,121619,121619,7680,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",6997127863082,6997127916482,0
178,1,1,121619,121619,7680,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",6997128102483,6997128355044,0
179,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6997146420551,6997146424511,0
180,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6997146455191,6997146458031,0
181,1,1,121619,121619,1024,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6997146512351,6997146516711,0
182,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6997146545741,6997146548421,0
